hashtag,gpt2_segmentation,heuristics_segmentation,edit_distance
USA,usa,us a,1
NYC,nyc,ny c,1
ISC,isc,is c,1
BETA,beta,be ta,1
Havana,havana,havan a,1
PSN,psn,ps n,1
Iowa,iowa,io wa,1
BarackObama,barack obama,barackobama,1
SL,sl,s l,1
Gemini,gemini,ge mini,1
IEA,iea,ie a,1
huawei,huawei,hua wei,1
Logos,logos,logo s,1
BestBuy,best buy,bestbuy,1
dm,dm,d m,1
Festivals,festivals,festival s,1
enclosed,enclosed,en closed,1
sb,sb,s b,1
NintendoSwitch,nintendo switch,nintendoswitch,1
TBT,tbt,t bt,1
WWE,wwe,w we,1
DoctorWho,doctor who,doctorwho,1
DailyExpress,daily express,dailyexpress,1
Fanfiction,fanfiction,fan fiction,1
NBA,nba,n ba,1
isha,isha,is ha,1
np,np,n p,1
NRA,nra,n ra,1
usd,usd,us d,1
tb,tb,t b,1
ALLCAPS,all caps,allcaps,1
ont,ont,on t,1
Proteins,proteins,protein s,1
BARACKOBAMA,barack obama,barackobama,1
ICP,icp,ic p,1
taker,taker,take r,1
DSU,dsu,d su,1
SM,sm,s m,1
gm,gm,g m,1
TGIF,tgif,t gif,1
UTEP,utep,ute p,1
TELAVIV,tel aviv,telaviv,1
ps4,ps4,ps 4,1
cables,cables,cable s,1
Tremors,tremors,t remors,1
LLR,llr,ll r,1
YG,yg,y g,1
cg,cg,c g,1
SST,sst,s st,1
PCA,pca,p ca,1
scribbles,scribbles,scribble s,1
antis,antis,ant is,1
Totes,totes,to tes,1
MH,mh,m h,1
weh,weh,we h,1
Day6,day 6,day6,1
PaulFeig,paul feig,paulfeig,1
bfr,bfr,b fr,1
tbt,tbt,t bt,1
worldview,worldview,world view,1
howl,howl,how l,1
birthdays,birthdays,birthday s,1
Leo,leo,le o,1
Herb,herb,her b,1
selection,selection,s election,1
GoG,gog,go g,1
Millennials,millennials,millennial s,1
Ayo,ayo,ay o,1
Livestreaming,live streaming,livestreaming,1
SWAT,swat,s wat,1
HSM,hsm,h sm,1
2am,2 am,2am,1
AMT,amt,am t,1
slang,slang,s lang,1
Instrumentals,instrumentals,instrumental s,1
garmin,garmin,g armin,1
causes,causes,cause s,1
RedVelvet,red velvet,redvelvet,1
SLES,sles,s les,1
SalmaHayek,salma hayek,salmahayek,1
BonIver,bon iver,boniver,1
Strongman,strongman,strong man,1
yoda,yoda,yo da,1
10s,10s,10 s,1
archon,archon,arch on,1
trout,trout,t rout,1
DTI,dti,d ti,1
KeanuReeves,keanu reeves,keanureeves,1
RosamundPike,rosamund pike,rosamundpike,1
anal,anal,an al,1
usaa,usaa,usa a,1
Dalek,dalek,dale k,1
VDO,vdo,v do,1
internals,internals,internal s,1
DTR,dtr,d tr,1
Oprah,oprah,opra h,1
Eevee,eevee,eeve e,1
PHT,pht,p ht,1
SSH,ssh,s sh,1
evo,evo,e vo,1
Dinnertime,dinnertime,dinner time,1
sharpshooter,sharpshooter,sharp shooter,1
OnePiece,one piece,onepiece,1
Freep,freep,free p,1
Rapids,rapids,rapid s,1
mca,mca,m ca,1
boardroom,boardroom,board room,1
KWI,kwi,k wi,1
yessir,yessir,yes sir,1
EWU,ewu,ew u,1
BootCamp,boot camp,bootcamp,1
APB,apb,ap b,1
Thad,thad,t had,1
RedPill,red pill,redpill,1
DavidKing,david king,davidking,1
fap,fap,f a p,2
WesCraven,wes craven,wescraven,1
Messi,messi,mes si,1
springtime,springtime,spring time,1
Shulk,shulk,s hulk,1
TheCollective,the collective,the  collective,1
VitaminC,vitamin c,vitaminc,1
llamas,llamas,lla mas,1
MindyKaling,mindy kaling,mindykaling,1
GetIn,get in,getin,1
tabletop,table top,tabletop,1
tabletop,table top,table to p,1
tabletop,table top,t able to p,2
Stool,stool,s too l,2
Ripoff,ripoff,rip off,1
Gali,gali,gal i,1
sask,sask,s ask,1
JIF,jif,ji f,1
DavidLynch,david lynch,davidlynch,1
Sade,sade,s a de,2
nosleep,nosleep,no sleep,1
Westworld,westworld,west world,1
BFA,bfa,b fa,1
gmo,gmo,g mo,1
TCU,tcu,t cu,1
Inmate,inmate,in mate,1
TheJam,the jam,the  jam,1
TheJam,the jam,thejam,1
eml,eml,em l,1
Nani,nani,n an i,2
CRT,crt,cr t,1
neveragain,never again,n ever again,1
dsa,dsa,ds a,1
ksl,ksl,ks l,1
8bit,8bit,8 bit,1
MeettheTeam,meet the team,meet the  team,1
2pac,2pac,2 pac,1
brainpower,brainpower,brain power,1
WDSU,wdsu,wd su,1
WDSU,wdsu,w d su,2
Maha,maha,ma ha,1
Purses,purses,purse s,1
MVE,mve,m ve,1
Boohoo,boohoo,boo hoo,1
baoh,baoh,bao h,1
Raga,raga,r aga,1
NetZero,netzero,net zero,1
JohnCena,john cena,johncena,1
EWW,eww,ew w,1
JohnPodesta,john podesta,johnpodesta,1
idv,idv,id v,1
snail,snail,s nail,1
bwi,bwi,b wi,1
Indifferent,indifferent,in different,1
