,gold,characters,hypothesis,value
68881,Facebook,Facebook,Facebook,15.367586135864258
9224,News,News,News,15.977804183959961
73364,Apple,Apple,Apple,17.212556838989258
18438,9,9,9,17.280006408691406
6703,the,the,the,17.307369232177734
56332,Steve,Steve,Steve,17.569108963012695
5533,16,16,16,17.580787658691406
38011,Star Trek,StarTrek,Star Trek,17.85622215270996
2240,Heroes,Heroes,Heroes,17.960552215576172
12737,photos,photos,photos,18.233810424804688
41878,Monday,Monday,Monday,18.333858489990234
9074,blog,blog,blog,18.411338806152344
49327,Barcelona,Barcelona,Barcelona,18.573999404907227
7484,iPhone,iPhone,iPhone,18.612913131713867
50716,Starbucks,Starbucks,Starbucks,18.65966796875
1097,House,House,House,18.67039680480957
9434,Adobe,Adobe,Adobe,18.714384078979492
8399,Chicago,Chicago,Chicago,18.784862518310547
9952,twitter,twitter,twitter,18.85373306274414
6642,quote,quote,quote,18.917442321777344
76741,health,health,health,18.941654205322266
6323,Batman,Batman,Batman,19.047653198242188
57441,Amsterdam,Amsterdam,Amsterdam,19.05007553100586
47783,youtube,youtube,youtube,19.177749633789062
771,Earthquake,Earthquake,Earthquake,19.352075576782227
31375,Chrome,Chrome,Chrome,19.409330368041992
63593,Ubuntu,Ubuntu,Ubuntu,19.410728454589844
59123,Marketing,Marketing,Marketing,19.443988800048828
36168,election,election,election,19.447669982910156
17843,google,google,google,19.483963012695312
50773,Surface,Surface,Surface,19.52873420715332
35126,music,music,music,19.53180694580078
24832,Kindle,Kindle,Kindle,19.547138214111328
54734,follow,follow,follow,19.708538055419922
57406,Rangers,Rangers,Rangers,19.71754264831543
22506,Liverpool,Liverpool,Liverpool,19.721317291259766
13838,Brighton,Brighton,Brighton,19.83785629272461
70491,Colorado,Colorado,Colorado,19.844722747802734
66768,red,red,red,19.92942237854004
14363,Genocide,Genocide,Genocide,19.932485580444336
27670,Arsenal,Arsenal,Arsenal,19.94452667236328
55111,Storm,Storm,Storm,19.947635650634766
1705,Summers,Summers,Summers,19.982749938964844
