,gold,characters,hypothesis,value
69739,Facebook,Facebook,Facebook,15.547119140625
9157,News,News,News,15.884933471679688
74286,Apple,Apple,Apple,16.987625122070312
5443,16,16,16,17.337135314941406
57100,Steve,Steve,Steve,17.362022399902344
18456,9,9,9,17.686115264892578
31534,Chrome,Chrome,Chrome,17.947959899902344
8352,Chicago,Chicago,Chicago,17.981048583984375
42053,Monday,Monday,Monday,18.017414093017578
1060,House,House,House,18.056846618652344
23575,Google Chrome,GoogleChrome,Google Chrome,18.06487274169922
55884,Storm,Storm,Storm,18.089588165283203
9369,Adobe,Adobe,Adobe,18.4600830078125
2183,Heroes,Heroes,Heroes,18.496170043945312
9002,blog,blog,blog,18.600177764892578
38195,Star Trek,StarTrek,Star Trek,18.689640045166016
6624,the,the,the,18.713802337646484
64430,Ubuntu,Ubuntu,Ubuntu,18.754409790039062
13780,Brighton,Brighton,Brighton,18.766613006591797
71343,Colorado,Colorado,Colorado,18.792911529541016
24354,Adelaide,Adelaide,Adelaide,18.876144409179688
51240,Starbucks,Starbucks,Starbucks,19.042205810546875
59892,Marketing,Marketing,Marketing,19.06673812866211
35870,WordPress,WordPress,WordPress,19.074405670166016
49880,Barcelona,Barcelona,Barcelona,19.14234161376953
51302,Surface,Surface,Surface,19.252552032470703
7403,iPhone,iPhone,iPhone,19.258472442626953
34558,Scarlet,Scarlet,Scarlet,19.325817108154297
6256,Batman,Batman,Batman,19.471702575683594
43023,Bristol,Bristol,Bristol,19.472328186035156
58212,Amsterdam,Amsterdam,Amsterdam,19.53006362915039
18242,Outdoors,Outdoors,Outdoors,19.64809799194336
48320,youtube,youtube,youtube,19.776851654052734
58177,Rangers,Rangers,Rangers,19.83746337890625
26622,football,football,football,19.87084197998047
22578,Liverpool,Liverpool,Liverpool,20.01755142211914
37589,Croatia,Croatia,Croatia,20.066150665283203
55506,follow,follow,follow,20.0689697265625
12700,photos,photos,photos,20.12643814086914
18839,Glasgow,Glasgow,Glasgow,20.153182983398438
16543,Paperwork,Paperwork,Paperwork,20.162757873535156
34592,Bones,Bones,Bones,20.321765899658203
23889,SNL,SNL,SNL,20.33608627319336
36328,election,election,election,20.33633041381836
24396,Marley,Marley,Marley,20.354690551757812
17854,google,google,google,20.426746368408203
27793,Arsenal,Arsenal,Arsenal,20.438404083251953
1773,Virgin,Virgin,Virgin,20.509510040283203
33956,Ericsson,Ericsson,Ericsson,20.517906188964844
40684,Santa Barbara,SantaBarbara,Santa Barbara,20.529197692871094
9899,twitter,twitter,twitter,20.554319381713867
21395,Bored,Bored,Bored,20.578702926635742
37178,Green Day,GreenDay,Green Day,20.58139419555664
40039,May 24,May24,May 24,20.59717559814453
43740,Indy,Indy,Indy,20.628067016601562
13850,Evernote,Evernote,Evernote,20.63104248046875
36788,Geek,Geek,Geek,20.64118194580078
46606,Irish,Irish,Irish,20.665664672851562
39731,Dracula,Dracula,Dracula,20.670026779174805
44221,Flashpoint,Flashpoint,Flashpoint,20.708385467529297
6566,quote,quote,quote,20.77040672302246
79399,Bangalore,Bangalore,Bangalore,20.77477264404297
60596,Chrysler,Chrysler,Chrysler,20.792770385742188
42460,LOST,LOST,LOST,20.808948516845703
252,fail,fail,fail,20.833656311035156
2158,Lahore,Lahore,Lahore,20.860851287841797
76859,Throwback,Throwback,Throwback,20.888805389404297
718,error,error,error,20.997329711914062
9010,Wolves,Wolves,Wolves,21.03085708618164
48820,Without,Without,Without,21.07046890258789
17217,Spiritual,Spiritual,Spiritual,21.09195327758789
35355,Halo 3,Halo3,Halo 3,21.095989227294922
9344,Drupal,Drupal,Drupal,21.138031005859375
37394,MotoGP,MotoGP,MotoGP,21.15483283996582
749,Earthquake,Earthquake,Earthquake,21.168474197387695
22950,Twins,Twins,Twins,21.18450164794922
70775,Morrissey,Morrissey,Morrissey,21.184951782226562
48517,Wolfram Alpha,WolframAlpha,WolframAlpha,21.255462646484375
16199,Penguins,Penguins,Penguins,21.275314331054688
1797,Easter,Easter,Easter,21.38980484008789
68922,Tori,Tori,Tori,21.426429748535156
35300,music,music,music,21.436901092529297
77594,David Archuleta,DavidArchuleta,David Archuleta,21.452556610107422
19631,Continental,Continental,Continental,21.459409713745117
23808,Hawks,Hawks,Hawks,21.468196868896484
2341,Angels,Angels,Angels,21.499534606933594
17932,flickr,flickr,flickr,21.519046783447266
75257,SGA,SGA,SGA,21.56789779663086
48178,Bruins,Bruins,Bruins,21.667675018310547
66149,early,early,early,21.722492218017578
37939,Semper Fidelis,SemperFidelis,Semper Fidelis,21.745677947998047
29275,lost,lost,lost,21.796043395996094
19918,Breaking Bad,BreakingBad,Breaking Bad,21.802749633789062
37418,Wii,Wii,Wii,21.845746994018555
14294,Genocide,Genocide,Genocide,21.854097366333008
77737,health,health,health,21.883304595947266
15619,Pompey,Pompey,Pompey,21.904888153076172
49793,last,last,last,21.917583465576172
19281,Ducks,Ducks,Ducks,21.939701080322266
18595,india,india,india,21.991512298583984
9035,Coachella,Coachella,Coachella,22.004228591918945
15725,Wolverine,Wolverine,Wolverine,22.004573822021484
1657,Summers,Summers,Summers,22.015987396240234
24933,Kindle,Kindle,Kindle,22.038347244262695
43748,training,training,training,22.06320571899414
66711,canada,canada,canada,22.067256927490234
23989,Pity,Pity,Pity,22.069072723388672
9097,tags,tags,tags,22.074586868286133
66998,FAIL,FAIL,FAIL,22.10504913330078
57291,Canes,Canes,Canes,22.11053466796875
51336,sleep,sleep,sleep,22.236801147460938
27254,Man Utd,ManUtd,Man Utd,22.244216918945312
64120,movie,movie,movie,22.30791473388672
34319,gmail,gmail,gmail,22.360769271850586
67611,red,red,red,22.38559341430664
71859,photography,photography,photography,22.395662307739258
14340,Karachi,Karachi,Karachi,22.448593139648438
35733,Eurovision,Eurovision,Eurovision,22.48259735107422
8595,Canucks,Canucks,Canucks,22.492252349853516
24586,face palm,facepalm,facepalm,22.54058074951172
48623,Leinster,Leinster,Leinster,22.680110931396484
266,Krispy Kreme,KrispyKreme,Krispy Kreme,22.70371437072754
22185,Peoria,Peoria,Peoria,22.727863311767578
28897,Dollhouse,Dollhouse,Dollhouse,22.749650955200195
9149,Moab,Moab,Moab,22.76007843017578
80052,coffee,coffee,coffee,22.765357971191406
16461,weather,weather,weather,22.770095825195312
66281,Heineken,Heineken,Heineken,22.780288696289062
12165,amazon,amazon,amazon,22.788799285888672
51137,cancer,cancer,cancer,22.789775848388672
46622,Cannes,Cannes,Cannes,22.806535720825195
32319,NHL Playoffs,NHLPlayoffs,NHL Playoffs,22.813396453857422
15900,Nuggets,Nuggets,Nuggets,22.81515884399414
1923,house,house,house,22.93541717529297
43578,Tamil,Tamil,Tamil,23.048320770263672
72185,Migraine,Migraine,Migraine,23.057231903076172
72812,Nats,Nats,Nats,23.09832000732422
7906,TYLER,TYLER,TYLER,23.111900329589844
39018,cars,cars,cars,23.12601089477539
35014,Wishful Thinking,WishfulThinking,Wishful Thinking,23.131263732910156
72304,Hunchback,Hunchback,Hunchback,23.139541625976562
49009,The Brick,TheBrick,The Brick,23.149303436279297
33360,SharePoint,SharePoint,SharePoint,23.20343017578125
72065,windows,windows,windows,23.238521575927734
10840,throwback,throwback,throwback,23.274269104003906
6474,woot,woot,woot,23.31679916381836
77875,twist,twist,twist,23.338726043701172
69830,magic,magic,magic,23.343658447265625
9571,MICA,MICA,MICA,23.360599517822266
22160,native,native,native,23.391250610351562
2016,photog,photog,photog,23.400068283081055
1691,spotify,spotify,spotify,23.430450439453125
54748,Talking Heads,TalkingHeads,Talking Heads,23.499496459960938
18951,linux,linux,linux,23.529747009277344
1134,italy,italy,italy,23.53316879272461
40344,not really,notreally,not really,23.53744888305664
23824,finals,finals,finals,23.58474349975586
60705,SIXX,SIXX,SIXX,23.59122085571289
56324,Firebox,Firebox,Firebox,23.61240005493164
39639,Prison Break,PrisonBreak,Prison Break,23.63263702392578
5488,Tweet Deck,TweetDeck,TweetDeck,23.642723083496094
5835,travis,travis,travis,23.657005310058594
10422,Lomo,Lomo,Lomo,23.680255889892578
47073,Synology,Synology,Synology,23.724899291992188
32660,webmaster,webmaster,webmaster,23.726173400878906
16241,gravity,gravity,gravity,23.735626220703125
64456,yahoo,yahoo,yahoo,23.74346160888672
38598,Manure,Manure,Manure,23.784404754638672
51590,Graze,Graze,Graze,23.819900512695312
13592,wind,wind,wind,23.836109161376953
15325,victoria,victoria,victoria,23.838855743408203
19024,baseball,baseball,baseball,23.86486053466797
46646,widgets,widgets,widgets,23.87520980834961
42094,firefox,firefox,firefox,23.883087158203125
67234,metal,metal,metal,23.94869613647461
1452,Ambients,Ambients,Ambients,23.953250885009766
32272,good luck,goodluck,good luck,23.960880279541016
69900,starbucks,starbucks,starbucks,23.979503631591797
66963,sarcasm,sarcasm,sarcasm,23.99140167236328
5067,democratic,democratic,democratic,24.004051208496094
33941,GMail,GMail,GMail,24.100601196289062
35316,tennis,tennis,tennis,24.112911224365234
29100,nightmare,nightmare,nightmare,24.129459381103516
17580,breakfast,breakfast,breakfast,24.184925079345703
20935,bacon,bacon,bacon,24.190715789794922
33828,kindle,kindle,kindle,24.21685791015625
2101,Wii Fit,WiiFit,Wii Fit,24.248811721801758
9336,spam,spam,spam,24.27569580078125
13834,Nambu,Nambu,Nambu,24.285633087158203
9984,bittorrent,bittorrent,bittorrent,24.353729248046875
650,earthquake,earthquake,earthquake,24.377670288085938
44067,COBOL,COBOL,COBOL,24.38212013244629
15799,twins,twins,twins,24.40337371826172
14809,Moscato,Moscato,Moscato,24.410789489746094
371,surface,surface,surface,24.504138946533203
18656,Sehnsucht,Sehnsucht,Sehnsucht,24.51380157470703
20747,netflix,netflix,netflix,24.528038024902344
70964,Migraines,Migraines,Migraines,24.539413452148438
46727,weight,weight,weight,24.557750701904297
60533,Dale Brown,DaleBrown,Dale Brown,24.572391510009766
80044,bees,bees,bees,24.591777801513672
