,gold,characters,hypothesis,value
157823,9,9,9,17.686115264892578
46334,Москва,Москва,Москва,25.8990478515625
49810,ОПК,ОПК,ОПК,28.702747344970703
68065,США,США,США,28.938579559326172
67699,СВД,СВД,СВД,29.148019790649414
68057,ССО,ССО,ССО,29.693103790283203
32253,История,История,История,29.7751407623291
81487,Чита,Чита,Чита,29.805072784423828
3514,Бал,Бал,Бал,29.81646728515625
49806,ООН,ООН,ООН,30.499765396118164
64601,Путин,Путин,Путин,30.52187728881836
78954,Фото,Фото,Фото,30.52696418762207
67870,СМИ,СМИ,СМИ,30.656618118286133
65077,РФ,РФ,РФ,30.70421600341797
68061,СУ,СУ,СУ,31.124011993408203
68063,СФ,СФ,СФ,31.270498275756836
6390,ВОВ,ВОВ,ВОВ,31.396711349487305
19538,Дания,Дания,Дания,31.467449188232422
30056,ИРИ,ИРИ,ИРИ,31.562471389770508
67687,САУ,САУ,САУ,31.704851150512695
155821,17 ноября,17ноября,17 ноября,31.784942626953125
83334,ЯРС,ЯРС,ЯРС,32.03974151611328
75537,ТВ,ТВ,ТВ,32.047489166259766
155703,12 декабря,12декабря,12 декабря,32.07732391357422
156314,1 мая,1мая,1 мая,32.15673828125
58047,Польша,Польша,Польша,32.21164321899414
73467,Сочи,Сочи,Сочи,32.233821868896484
155561,10 ноября,10ноября,10 ноября,32.237308502197266
57879,Полиция,Полиция,Полиция,32.288902282714844
2506,Армия,Армия,Армия,32.40318298339844
156299,1 июня,1июня,1 июня,32.482276916503906
6300,ВКС,ВКС,ВКС,32.48755645751953
6296,ВИЖ,ВИЖ,ВИЖ,32.51643371582031
6262,ВДВ,ВДВ,ВДВ,32.52803039550781
53290,ПРО,ПРО,ПРО,32.53346252441406
155608,12 июня,12июня,12 июня,32.56867218017578
2222,Армата,Армата,Армата,32.623111724853516
50718,Опера,Опера,Опера,32.642473220825195
6234,ВАИ,ВАИ,ВАИ,32.67619323730469
6238,ВАО,ВАО,ВАО,32.73976516723633
156330,1 сентября,1сентября,1 сентября,32.804012298583984
82116,ШОС,ШОС,ШОС,32.85080528259277
3512,БФ,БФ,БФ,32.85109329223633
28433,ЗРК,ЗРК,ЗРК,32.8802490234375
22833,День России,ДеньРоссии,День России,32.932289123535156
65073,РСМ,РСМ,РСМ,32.94871139526367
78825,Форум,Форум,Форум,32.95681190490723
70020,Сербия,Сербия,Сербия,32.95931434631348
157118,4 ноября,4ноября,4 ноября,32.96991729736328
80164,Цитата,Цитата,Цитата,33.03421401977539
157825,9 мая,9мая,9 мая,33.05007553100586
37116,Куба,Куба,Куба,33.059574127197266
47984,НГ,НГ,НГ,33.06593322753906
68010,СНГ,СНГ,СНГ,33.0755500793457
76088,Танки,Танки,Танки,33.077274322509766
130492,полиция,полиция,полиция,33.14006805419922
26215,Дети,Дети,Дети,33.209144592285156
77700,Тула,Тула,Тула,33.20977020263672
28429,ЗВО,ЗВО,ЗВО,33.245361328125
67703,СВУ,СВУ,СВУ,33.290557861328125
68014,СПБ,СПБ,СПБ,33.37523651123047
41143,Мальта,Мальта,Мальта,33.41745376586914
34167,Киров,Киров,Киров,33.434635162353516
39238,МВД,МВД,МВД,33.557674407958984
70674,Словения,Словения,Словения,33.57414245605469
6595,ВТА,ВТА,ВТА,33.627960205078125
6258,ВВТ,ВВТ,ВВТ,33.6407356262207
6065,Бродский,Бродский,Бродский,33.736961364746094
104967,карта,карта,карта,33.743263244628906
6242,ВВО,ВВО,ВВО,33.78351974487305
65036,РЛС,РЛС,РЛС,33.860774993896484
241,АРМИ,АРМИ,АРМИ,33.8756103515625
27868,ЕДП,ЕДП,ЕДП,33.88730239868164
6394,ВПС,ВПС,ВПС,33.91366958618164
34231,Книги,Книги,Книги,33.91814041137695
157439,80 лет,80лет,80 лет,33.951839447021484
16529,Вулин,Вулин,Вулин,33.969276428222656
3456,БМД,БМД,БМД,33.98835754394531
38462,Луна,Луна,Луна,34.01158142089844
49401,Новости,Новости,Новости,34.02983474731445
6219,Бунин,Бунин,Бунин,34.04524612426758
16891,ГАЗ,ГАЗ,ГАЗ,34.05369567871094
75589,ТОФ,ТОФ,ТОФ,34.07191467285156
3452,БЛА,БЛА,БЛА,34.07970428466797
114937,мото,мото,мото,34.091732025146484
65024,РЖД,РЖД,РЖД,34.116729736328125
67730,СККП,СККП,СККП,34.13764572143555
131085,пони,пони,пони,34.158668518066406
68026,СПб,СПб,СПб,34.166080474853516
49814,ОПКУ,ОПКУ,ОПКУ,34.18410873413086
127413,питер,питер,питер,34.19932556152344
73950,Спасик,Спасик,Спасик,34.21685028076172
64975,РАСО,РАСО,РАСО,34.238407135009766
19037,Гудини,Гудини,Гудини,34.24609375
30486,Ил,Ил,Ил,34.2497444152832
78560,ФТС,ФТС,ФТС,34.25650405883789
80310,ЧМ,ЧМ,ЧМ,34.2871208190918
67691,СВАО,СВАО,СВАО,34.2896728515625
39477,МРС,МРС,МРС,34.336021423339844
156449,22 июня,22июня,22 июня,34.38373565673828
64616,Пучков,Пучков,Пучков,34.40052032470703
68381,Сахалин,Сахалин,Сахалин,34.43585205078125
3342,БДК,БДК,БДК,34.45757293701172
79601,ЦВО,ЦВО,ЦВО,34.45989227294922
37450,Курск,Курск,Курск,34.535888671875
6246,ВВС,ВВС,ВВС,34.543338775634766
78289,Уран,Уран,Уран,34.577903747558594
74044,Сражения,Сражения,Сражения,34.57997512817383
53191,ППС,ППС,ППС,34.58244323730469
106046,кино,кино,кино,34.6203727722168
77708,Турция,Турция,Турция,34.65093231201172
68204,Самара,Самара,Самара,34.65719223022461
16944,ГОЗ,ГОЗ,ГОЗ,34.66086959838867
86286,банк,банк,банк,34.69327163696289
109817,лето,лето,лето,34.76605224609375
233,АКИТ,АКИТ,АКИТ,34.87339401245117
135111,права,права,права,34.8913688659668
78548,ФОТО,ФОТО,ФОТО,34.89344787597656
78810,Фомин,Фомин,Фомин,34.91355514526367
78556,ФСБ,ФСБ,ФСБ,34.947452545166016
67707,СЗАО,СЗАО,СЗАО,34.987548828125
79276,Хама,Хама,Хама,34.995262145996094
3460,БМП,БМП,БМП,34.9954833984375
53181,ПМ,ПМ,ПМ,35.01471710205078
34216,Китай,Китай,Китай,35.02724838256836
83326,ЯНАО,ЯНАО,ЯНАО,35.034027099609375
38428,Лужский,Лужский,Лужский,35.083953857421875
67564,Рысь,Рысь,Рысь,35.089515686035156
93424,дата,дата,дата,35.135311126708984
39835,Магас,Магас,Магас,35.171051025390625
13547,Воин,Воин,Воин,35.17180633544922
92921,граждан,граждан,граждан,35.17669677734375
27442,Дойл,Дойл,Дойл,35.18317794799805
27465,Дорога,Дорога,Дорога,35.241294860839844
65087,РЭБ,РЭБ,РЭБ,35.24774932861328
157833,А 50,А50,А 50,35.29563903808594
6639,Валерия,Валерия,Валерия,35.310665130615234
32971,Казань,Казань,Казань,35.315494537353516
