,gold,characters,hypothesis,value
9359,News,News,News,14.383079528808594
18635,9,9,9,14.796024322509766
5639,16,16,16,15.984123229980469
6826,the,the,the,16.459522247314453
69883,Facebook,Facebook,Facebook,16.71926498413086
67774,red,red,red,17.116985321044922
9200,blog,blog,blog,17.23279571533203
26795,football,football,football,17.418750762939453
10077,twitter,twitter,twitter,17.62035369873047
74383,Apple,Apple,Apple,17.631641387939453
67153,sarcasm,sarcasm,sarcasm,17.782546997070312
36420,election,election,election,17.862579345703125
1958,house,house,house,17.882335662841797
1157,italy,italy,italy,17.99207305908203
35372,music,music,music,18.08055877685547
43615,Bristol,Bristol,Bristol,18.139060974121094
57397,Steve,Steve,Steve,18.16769027709961
1074,House,House,House,18.292579650878906
32740,webmaster,webmaster,webmaster,18.310874938964844
12881,photos,photos,photos,18.322311401367188
18132,flickr,flickr,flickr,18.343948364257812
64344,movie,movie,movie,18.405197143554688
8557,Chicago,Chicago,Chicago,18.433551788330078
39062,cars,cars,cars,18.647579193115234
9296,tags,tags,tags,18.679534912109375
2155,cricket,cricket,cricket,18.687786102294922
19215,baseball,baseball,baseball,18.693309783935547
38242,Star Trek,StarTrek,Star Trek,18.769275665283203
12354,amazon,amazon,amazon,18.800369262695312
48760,youtube,youtube,youtube,18.89504623413086
2216,Heroes,Heroes,Heroes,18.954761505126953
13205,asp,asp,asp,18.995689392089844
29408,lost,lost,lost,19.048419952392578
23972,finals,finals,finals,19.075305938720703
66346,early,early,early,19.105716705322266
18057,google,google,google,19.16571807861328
55780,follow,follow,follow,19.181743621826172
723,error,error,error,19.189105987548828
34390,gmail,gmail,gmail,19.19477081298828
25298,amp,amp,amp,19.20684051513672
2550,socks,socks,socks,19.226543426513672
43089,LOST,LOST,LOST,19.251358032226562
51684,sleep,sleep,sleep,19.31417465209961
8101,french,french,french,19.316341400146484
75838,erlang,erlang,erlang,19.355636596679688
72225,windows,windows,windows,19.37822723388672
72007,photography,photography,photography,19.46206283569336
56151,Storm,Storm,Storm,19.54550552368164
18775,india,india,india,19.548866271972656
44307,training,training,training,19.565452575683594
77809,health,health,health,19.57635498046875
71508,Colorado,Colorado,Colorado,19.607589721679688
42675,Monday,Monday,Monday,19.65139389038086
50238,Barcelona,Barcelona,Barcelona,19.666484832763672
51590,Starbucks,Starbucks,Starbucks,19.673748016357422
47026,widgets,widgets,widgets,19.702239990234375
7632,iPhone,iPhone,iPhone,19.70801544189453
51491,cancer,cancer,cancer,19.748321533203125
77947,twist,twist,twist,19.756362915039062
25089,Kindle,Kindle,Kindle,19.79092025756836
9530,spam,spam,spam,19.811920166015625
16618,weather,weather,weather,19.817264556884766
35944,WordPress,WordPress,WordPress,19.86257553100586
46987,Irish,Irish,Irish,19.86827850341797
33909,kindle,kindle,kindle,19.89306640625
55011,jazz,jazz,jazz,19.93414306640625
402,rails,rails,rails,19.941627502441406
23515,hurt,hurt,hurt,20.06728744506836
54693,sunshine,sunshine,sunshine,20.068286895751953
24749,face palm,facepalm,facepalm,20.073089599609375
13772,wind,wind,wind,20.086467742919922
35253,3 words,3words,3 words,20.098392486572266
16089,revision,revision,revision,20.11163330078125
47111,weight,weight,weight,20.13088607788086
1718,spotify,spotify,spotify,20.131061553955078
2387,Angels,Angels,Angels,20.1409912109375
248,fail,fail,fail,20.169010162353516
27950,Arsenal,Arsenal,Arsenal,20.180519104003906
6035,travis,travis,travis,20.193233489990234
58506,Amsterdam,Amsterdam,Amsterdam,20.195362091064453
14021,Evernote,Evernote,Evernote,20.226181030273438
49247,Without,Without,Without,20.227867126464844
17791,breakfast,breakfast,breakfast,20.234813690185547
9208,Wolves,Wolves,Wolves,20.241287231445312
16507,vegas,vegas,vegas,20.255111694335938
19025,Glasgow,Glasgow,Glasgow,20.257408142089844
13960,Brighton,Brighton,Brighton,20.257774353027344
31624,Chrome,Chrome,Chrome,20.270267486572266
50162,last,last,last,20.290142059326172
21808,woo,woo,woo,20.306644439697266
37233,Green Day,GreenDay,Green Day,20.312908172607422
34666,Bones,Bones,Bones,20.31493377685547
6452,Batman,Batman,Batman,20.316020965576172
77900,hashtags,hashtags,hashtags,20.326602935791016
13662,aware,aware,aware,20.33486557006836
77514,fireworks,fireworks,fireworks,20.357921600341797
74273,asylum,asylum,asylum,20.361408233642578
60189,Marketing,Marketing,Marketing,20.362102508544922
17757,walmart,walmart,walmart,20.363361358642578
6769,quote,quote,quote,20.375587463378906
22335,native,native,native,20.400650024414062
2191,Lahore,Lahore,Lahore,20.40276336669922
64671,yahoo,yahoo,yahoo,20.432708740234375
262,Krispy Kreme,KrispyKreme,Krispy Kreme,20.48602294921875
67406,metal,metal,metal,20.496746063232422
21569,Bored,Bored,Bored,20.501502990722656
48795,chicago,chicago,chicago,20.50833511352539
21116,bacon,bacon,bacon,20.521095275878906
11855,sigma,sigma,sigma,20.522674560546875
18433,Outdoors,Outdoors,Outdoors,20.526905059814453
1824,Easter,Easter,Easter,20.53655242919922
15167,geocaching,geocaching,geocaching,20.558074951171875
19136,linux,linux,linux,20.564929962158203
16712,Paperwork,Paperwork,Paperwork,20.591968536376953
17963,insomnia,insomnia,insomnia,20.624149322509766
6681,woot,woot,woot,20.649227142333984
652,earthquake,earthquake,earthquake,20.652000427246094
32353,good luck,goodluck,good luck,20.670501708984375
51650,Surface,Surface,Surface,20.679561614990234
69976,magic,magic,magic,20.681346893310547
29304,lulz,lulz,lulz,20.691524505615234
19415,ubuntu,ubuntu,ubuntu,20.713573455810547
66893,canada,canada,canada,20.723533630371094
13190,azure,azure,azure,20.72745132446289
15885,Wolverine,Wolverine,Wolverine,20.753173828125
42718,firefox,firefox,firefox,20.777950286865234
39791,Dracula,Dracula,Dracula,20.788230895996094
29232,nightmare,nightmare,nightmare,20.81005096435547
36863,Geek,Geek,Geek,20.831695556640625
35387,tennis,tennis,tennis,20.86880111694336
5742,iphone,iphone,iphone,20.868839263916016
15953,twins,twins,twins,20.87636947631836
10160,bittorrent,bittorrent,bittorrent,20.909626007080078
21700,saltwater,saltwater,saltwater,20.977691650390625
7842,spain,spain,spain,20.993030548095703
370,surface,surface,surface,21.00058364868164
23718,Google Chrome,GoogleChrome,Google Chrome,21.023433685302734
20927,netflix,netflix,netflix,21.05617904663086
9351,Moab,Moab,Moab,21.059444427490234
37451,MotoGP,MotoGP,MotoGP,21.062820434570312
58471,Rangers,Rangers,Rangers,21.063892364501953
22740,Liverpool,Liverpool,Liverpool,21.104095458984375
755,Earthquake,Earthquake,Earthquake,21.109756469726562
70045,starbucks,starbucks,starbucks,21.133434295654297
65949,sustainability,sustainability,sustainability,21.136676788330078
15498,victoria,victoria,victoria,21.13711166381836
16160,derby,derby,derby,21.139328002929688
24037,SNL,SNL,SNL,21.1424560546875
1682,Summers,Summers,Summers,21.151485443115234
64646,Ubuntu,Ubuntu,Ubuntu,21.155982971191406
2761,squirrel,squirrel,squirrel,21.18252182006836
75361,SGA,SGA,SGA,21.202693939208984
11565,bsg,bsg,bsg,21.22687530517578
21472,joomla,joomla,joomla,21.231475830078125
39701,Prison Break,PrisonBreak,Prison Break,21.267215728759766
38945,scrubs,scrubs,scrubs,21.29171371459961
60905,illness,illness,illness,21.297969818115234
9304,overload,overload,overload,21.317768096923828
69074,Tori,Tori,Tori,21.322345733642578
30723,muffin,muffin,muffin,21.338092803955078
24509,Adelaide,Adelaide,Adelaide,21.39887237548828
16395,gravity,gravity,gravity,21.420307159423828
16658,wolverine,wolverine,wolverine,21.424488067626953
79474,Bangalore,Bangalore,Bangalore,21.430770874023438
67611,geocache,geocache,geocache,21.468902587890625
25246,melbourne,melbourne,melbourne,21.47249984741211
34035,Ericsson,Ericsson,Ericsson,21.472747802734375
34632,Scarlet,Scarlet,Scarlet,21.478744506835938
64229,good night,goodnight,goodnight,21.49740219116211
18767,suck,suck,suck,21.49749755859375
6182,indonesia,indonesia,indonesia,21.506175994873047
37637,Croatia,Croatia,Croatia,21.535377502441406
66278,heartbreak,heartbreak,heartbreak,21.53940200805664
35319,vancouver,vancouver,vancouver,21.550857543945312
6479,conservation,conservation,conservation,21.551624298095703
23099,Twins,Twins,Twins,21.568164825439453
5269,democratic,democratic,democratic,21.574268341064453
67194,FAIL,FAIL,FAIL,21.588226318359375
35424,Halo 3,Halo3,Halo 3,21.589305877685547
44252,expenses,expenses,expenses,21.600040435791016
16352,Penguins,Penguins,Penguins,21.648048400878906
23957,Hawks,Hawks,Hawks,21.64850616455078
8128,TYLER,TYLER,TYLER,21.653297424316406
36744,tweet deck,tweetdeck,tweetdeck,21.657413482666016
1799,Virgin,Virgin,Virgin,21.672317504882812
24123,Pity,Pity,Pity,21.674564361572266
9564,Adobe,Adobe,Adobe,21.675010681152344
2049,photog,photog,photog,21.677066802978516
62138,miracle,miracle,miracle,21.68117904663086
77639,swans,swans,swans,21.684215545654297
40777,Santa Barbara,SantaBarbara,Santa Barbara,21.69466781616211
40106,May 24,May24,May 24,21.713905334472656
9538,Drupal,Drupal,Drupal,21.778194427490234
739,tracy,tracy,tracy,21.80423355102539
44758,Flashpoint,Flashpoint,Flashpoint,21.804977416992188
18408,maddie,maddie,maddie,21.811294555664062
60966,SIXX,SIXX,SIXX,21.886566162109375
66072,homeless,homeless,homeless,21.921504974365234
47857,interop,interop,interop,21.927921295166016
72950,Nats,Nats,Nats,21.972522735595703
14475,Genocide,Genocide,Genocide,22.01216697692871
70925,Morrissey,Morrissey,Morrissey,22.082420349121094
47002,Cannes,Cannes,Cannes,22.093544006347656
27985,lobster,lobster,lobster,22.139789581298828
6792,buffalo,buffalo,buffalo,22.146564483642578
73793,jealous,jealous,jealous,22.2044677734375
45047,Fails,Fails,Fails,22.207324981689453
26572,kimi,kimi,kimi,22.21923828125
20172,apprentice,apprentice,apprentice,22.224323272705078
1998,ottawa,ottawa,ottawa,22.237579345703125
9236,Coachella,Coachella,Coachella,22.24187469482422
22361,Peoria,Peoria,Peoria,22.246654510498047
18168,background image,backgroundimage,background image,22.253074645996094
21657,toulouse,toulouse,toulouse,22.27222442626953
60541,star wars,starwars,starwars,22.317829132080078
2451,howling,howling,howling,22.326595306396484
48904,unfollow,unfollow,unfollow,22.327091217041016
15763,bulls,bulls,bulls,22.334171295166016
18790,brighton,brighton,brighton,22.369003295898438
6279,nascar,nascar,nascar,22.397335052490234
60858,Chrysler,Chrysler,Chrysler,22.407012939453125
15778,Pompey,Pompey,Pompey,22.458053588867188
17422,Spiritual,Spiritual,Spiritual,22.473583221435547
64630,lupus,lupus,lupus,22.48406982421875
49053,Leinster,Leinster,Leinster,22.487781524658203
24555,Marley,Marley,Marley,22.489700317382812
10416,app store,appstore,appstore,22.514244079589844
36871,robinson,robinson,robinson,22.519287109375
29031,Dollhouse,Dollhouse,Dollhouse,22.532608032226562
40419,not really,notreally,not really,22.557708740234375
1754,semantic,semantic,semantic,22.567371368408203
19586,blue box,bluebox,bluebox,22.578712463378906
9130,dispatches,dispatches,dispatches,22.58271026611328
35778,mumbai,mumbai,mumbai,22.585895538330078
43748,adium,adium,adium,22.586776733398438
40134,monday,monday,monday,22.599773406982422
51924,fails,fails,fails,22.623882293701172
38970,redwings,redwings,redwings,22.654319763183594
67683,it sucks,itsucks,it sucks,22.668251037597656
9756,MICA,MICA,MICA,22.66954803466797
57606,Canes,Canes,Canes,22.734413146972656
1397,rock box,rockbox,rockbox,22.76634979248047
6400,uprise,uprise,uprise,22.777660369873047
20091,Breaking Bad,BreakingBad,Breaking Bad,22.780807495117188
34937,biking,biking,biking,22.78567123413086
16772,postgresql,postgresql,postgresql,22.814136505126953
25074,perth,perth,perth,22.83151626586914
6830,bluray,bluray,bluray,22.833721160888672
66477,Heineken,Heineken,Heineken,22.854015350341797
46824,leopard,leopard,leopard,22.863204956054688
73215,twat,twat,twat,22.869617462158203
32396,NHL Playoffs,NHLPlayoffs,NHL Playoffs,22.896808624267578
66918,spymaster,spymaster,spymaster,22.937789916992188
8747,genealogy,genealogy,genealogy,22.950244903564453
19439,riff,riff,riff,22.962474822998047
39273,lacrosse,lacrosse,lacrosse,22.971385955810547
48422,togs,togs,togs,22.98645782470703
37476,Wii,Wii,Wii,22.987415313720703
16053,Nuggets,Nuggets,Nuggets,22.991680145263672
66361,ccnet,ccnet,ccnet,23.011585235595703
47482,Synology,Synology,Synology,23.013397216796875
76717,global warming,globalwarming,global warming,23.025402069091797
