,gold,characters,hypothesis,value
159846,9,9,9,14.796024322509766
66216,РФ,РФ,РФ,26.886463165283203
69299,СФ,СФ,СФ,27.309776306152344
6511,ВОВ,ВОВ,ВОВ,27.485214233398438
116720,мото,мото,мото,27.61893081665039
104356,икра,икра,икра,27.668228149414062
47092,Москва,Москва,Москва,27.852264404296875
6379,ВДВ,ВДВ,ВДВ,27.929874420166016
76952,ТВ,ТВ,ТВ,28.041400909423828
85189,авто,авто,авто,28.30179214477539
30741,ИРИ,ИРИ,ИРИ,28.47928237915039
31144,Ил,Ил,Ил,28.78643035888672
74772,Сочи,Сочи,Сочи,28.84344482421875
3540,Бал,Бал,Бал,28.896377563476562
81826,ЧФ,ЧФ,ЧФ,28.905284881591797
100829,елка,елка,елка,28.982303619384766
6351,ВАИ,ВАИ,ВАИ,29.06798553466797
6355,ВАО,ВАО,ВАО,29.135879516601562
19915,Дания,Дания,Дания,29.18606948852539
81824,ЧМ,ЧМ,ЧМ,29.192153930664062
80463,Фото,Фото,Фото,29.19443130493164
150651,торт,торт,торт,29.206443786621094
50535,ОПК,ОПК,ОПК,29.22195053100586
152798,форум,форум,форум,29.290969848632812
53913,ПМ,ПМ,ПМ,29.308998107910156
125142,остров,остров,остров,29.319873809814453
6419,ВКС,ВКС,ВКС,29.349319458007812
149195,суд,суд,суд,29.378437042236328
106642,карта,карта,карта,29.400367736816406
93659,главное,главное,главное,29.44491958618164
113257,марка,марка,марка,29.45496368408203
54017,ПРО,ПРО,ПРО,29.47515869140625
100821,езда,езда,езда,29.47891616821289
34892,Киров,Киров,Киров,29.483718872070312
84887,ЯРС,ЯРС,ЯРС,29.535232543945312
3538,БФ,БФ,БФ,29.591205596923828
65706,Путин,Путин,Путин,29.633529663085938
66175,РЛС,РЛС,РЛС,29.687904357910156
137018,права,права,права,29.798938751220703
6363,ВВС,ВВС,ВВС,29.819190979003906
69293,ССО,ССО,ССО,29.874588012695312
132978,пони,пони,пони,29.894577026367188
104341,икона,икона,икона,29.95428466796875
6359,ВВО,ВВО,ВВО,30.043243408203125
16825,Вулин,Вулин,Вулин,30.052974700927734
113272,марки,марки,марки,30.06708526611328
152790,форд,форд,форд,30.06739044189453
90809,весна,весна,весна,30.09107208251953
