,gold,characters,hypothesis,value
68247,Facebook,Facebook,Facebook,15.367586135864258
9059,News,News,News,15.977804183959961
72730,Apple,Apple,Apple,17.212556838989258
18273,9,9,9,17.280006408691406
6538,the,the,the,17.307369232177734
55968,Steve,Steve,Steve,17.569108963012695
5368,16,16,16,17.580787658691406
37846,Star Trek,StarTrek,Star Trek,17.85622215270996
2240,Heroes,Heroes,Heroes,17.960552215576172
12572,photos,photos,photos,18.233810424804688
41713,Monday,Monday,Monday,18.333858489990234
8909,blog,blog,blog,18.411338806152344
49050,Barcelona,Barcelona,Barcelona,18.573999404907227
7319,iPhone,iPhone,iPhone,18.612913131713867
50439,Starbucks,Starbucks,Starbucks,18.65966796875
1097,House,House,House,18.67039680480957
9269,Adobe,Adobe,Adobe,18.714384078979492
8234,Chicago,Chicago,Chicago,18.784862518310547
9787,twitter,twitter,twitter,18.85373306274414
6477,quote,quote,quote,18.917442321777344
76107,health,health,health,18.941654205322266
6158,Batman,Batman,Batman,19.047653198242188
57077,Amsterdam,Amsterdam,Amsterdam,19.05007553100586
47523,youtube,youtube,youtube,19.177749633789062
771,Earthquake,Earthquake,Earthquake,19.352075576782227
31210,Chrome,Chrome,Chrome,19.409330368041992
62959,Ubuntu,Ubuntu,Ubuntu,19.410728454589844
58649,Marketing,Marketing,Marketing,19.443988800048828
36003,election,election,election,19.447669982910156
17678,google,google,google,19.483963012695312
50496,Surface,Surface,Surface,19.52873420715332
34961,music,music,music,19.53180694580078
24667,Kindle,Kindle,Kindle,19.547138214111328
54370,follow,follow,follow,19.708538055419922
57042,Rangers,Rangers,Rangers,19.71754264831543
22341,Liverpool,Liverpool,Liverpool,19.721317291259766
13673,Brighton,Brighton,Brighton,19.83785629272461
69857,Colorado,Colorado,Colorado,19.844722747802734
66134,red,red,red,19.92942237854004
14198,Genocide,Genocide,Genocide,19.932485580444336
27505,Arsenal,Arsenal,Arsenal,19.94452667236328
54747,Storm,Storm,Storm,19.947635650634766
1705,Summers,Summers,Summers,19.982749938964844
34271,Bones,Bones,Bones,20.075162887573242
62663,movie,movie,movie,20.090171813964844
22697,Twins,Twins,Twins,20.107797622680664
36441,Geek,Geek,Geek,20.163528442382812
45767,Irish,Irish,Irish,20.288787841796875
65512,FAIL,FAIL,FAIL,20.304306030273438
8917,Wolves,Wolves,Wolves,20.311264038085938
35525,WordPress,WordPress,WordPress,20.319250106811523
23318,Google Chrome,GoogleChrome,Google Chrome,20.33611488342285
17753,flickr,flickr,flickr,20.483108520507812
268,fail,fail,fail,20.49306869506836
2411,Angels,Angels,Angels,20.54503631591797
34234,Scarlet,Scarlet,Scarlet,20.54825210571289
69307,Morrissey,Morrissey,Morrissey,20.619712829589844
33623,Ericsson,Ericsson,Ericsson,20.63878631591797
23558,Hawks,Hawks,Hawks,20.668540954589844
42637,Bristol,Bristol,Bristol,20.735336303710938
70361,photography,photography,photography,20.738441467285156
48002,Without,Without,Without,20.743953704833984
39729,May 24,May24,May 24,20.771286010742188
15586,Wolverine,Wolverine,Wolverine,20.838809967041016
36817,Green Day,GreenDay,Green Day,20.852088928222656
59308,Chrysler,Chrysler,Chrysler,20.865867614746094
