,gold,characters,hypothesis,value
68966,Facebook,Facebook,Facebook,15.547119140625
9122,News,News,News,15.884933471679688
73513,Apple,Apple,Apple,16.987625122070312
5408,16,16,16,17.337135314941406
56564,Steve,Steve,Steve,17.362022399902344
18421,9,9,9,17.686115264892578
31499,Chrome,Chrome,Chrome,17.947959899902344
8317,Chicago,Chicago,Chicago,17.981048583984375
41951,Monday,Monday,Monday,18.017414093017578
1060,House,House,House,18.056846618652344
23540,Google Chrome,GoogleChrome,Google Chrome,18.06487274169922
55348,Storm,Storm,Storm,18.089588165283203
9334,Adobe,Adobe,Adobe,18.4600830078125
2183,Heroes,Heroes,Heroes,18.496170043945312
8967,blog,blog,blog,18.600177764892578
38160,Star Trek,StarTrek,Star Trek,18.689640045166016
6589,the,the,the,18.713802337646484
63657,Ubuntu,Ubuntu,Ubuntu,18.754409790039062
13745,Brighton,Brighton,Brighton,18.766613006591797
70570,Colorado,Colorado,Colorado,18.792911529541016
24319,Adelaide,Adelaide,Adelaide,18.876144409179688
50907,Starbucks,Starbucks,Starbucks,19.042205810546875
59271,Marketing,Marketing,Marketing,19.06673812866211
35835,WordPress,WordPress,WordPress,19.074405670166016
49547,Barcelona,Barcelona,Barcelona,19.14234161376953
50969,Surface,Surface,Surface,19.252552032470703
7368,iPhone,iPhone,iPhone,19.258472442626953
34523,Scarlet,Scarlet,Scarlet,19.325817108154297
6221,Batman,Batman,Batman,19.471702575683594
42921,Bristol,Bristol,Bristol,19.472328186035156
57676,Amsterdam,Amsterdam,Amsterdam,19.53006362915039
18207,Outdoors,Outdoors,Outdoors,19.64809799194336
47987,youtube,youtube,youtube,19.776851654052734
57641,Rangers,Rangers,Rangers,19.83746337890625
26587,football,football,football,19.87084197998047
22543,Liverpool,Liverpool,Liverpool,20.01755142211914
37554,Croatia,Croatia,Croatia,20.066150665283203
54970,follow,follow,follow,20.0689697265625
12665,photos,photos,photos,20.12643814086914
18804,Glasgow,Glasgow,Glasgow,20.153182983398438
16508,Paperwork,Paperwork,Paperwork,20.162757873535156
34557,Bones,Bones,Bones,20.321765899658203
23854,SNL,SNL,SNL,20.33608627319336
36293,election,election,election,20.33633041381836
24361,Marley,Marley,Marley,20.354690551757812
17819,google,google,google,20.426746368408203
27758,Arsenal,Arsenal,Arsenal,20.438404083251953
1773,Virgin,Virgin,Virgin,20.509510040283203
33921,Ericsson,Ericsson,Ericsson,20.517906188964844
40649,Santa Barbara,SantaBarbara,Santa Barbara,20.529197692871094
